restaurent_id,restaurent_name,quantity,unit,product,corrections ,date,original text,need_attention,Message
1,Spice Merchant,3,Bag,Onion,,03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
1,Spice Merchant,1,Bag,Coriander,Product corrected from 'donia' to 'Coriander',03/11/2025,,,
1,Spice Merchant,1,Bag,Potato,,03/11/2025,,,
2,My Test Restaurant,2,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
2,My Test Restaurant,1,bg,onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tom,,03/11/2025,,,
----------,,,,,,03/11/2025,,,
2,My Test Restaurant,2,bg,Onion,,03/11/2025,,,
2,My Test Restaurant,2,bx,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
------------------,,,,,,03/11/2025,,,
1,Spice Merchant,12,Piece,Apple,Product corrected from 'PEPPER-12p' to 'Apple',03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,03/11/2025,,,
1,Spice Merchant,2,Kilogram,Lettuce,Product corrected from 'COURGETTES-2kg' to 'Lettuce',03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,1,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,5,Kilogram,Carrot,,03/11/2025,,,
1,Spice Merchant,2,Kilogram,Courgettes,,03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,12,Piece,Pear,Product corrected from 'PEPPER-12p' to 'Pear',03/11/2025,,,
1,Spice Merchant,0,Box,Coriander,,03/11/2025,,,
1,Spice Merchant,0,Box,Coriander,Product corrected from 'Coriande' to 'Coriander',03/11/2025,,,
-----,,,,,,03/11/2025,,,
1,Spice Merchant,0.5,Box,Coriander,,03/11/2025,,,
1,Spice Merchant,7,Box,Tomato,Product corrected from 'Tom' to 'Tomato',03/11/2025,,,
1,Spice Merchant,7,Box,Tomato beef,Product corrected from 'Tom']' to 'Tomato beef',03/11/2025,,,
-------------,,,,,,03/11/2025,,,
1,Spice Merchant,7,Box,Tomato,,03/11/2025,,,
1,Spice Merchant,3,Bag,Onion,,03/11/2025,,,
1,Spice Merchant,1,Box,Cabbage,,03/11/2025,,,
